Unnamed: 0,SMS,Result,MLP,MLP_tuned,NaiveBayes,TensorFlow,TinyBert
5469,Ok lor.,ham,ham,ham,ham,ham,ham
1054,Jay's getting really impatient and belligerent,ham,ham,ham,ham,ham,ham
3507,Nite...,ham,ham,ham,ham,ham,ham
1616,Mm i had my food da from out,ham,ham,ham,ham,ham,ham
2154,I dont have i shall buy one dear,ham,ham,ham,ham,ham,ham
4549,Hope you are having a good week. Just checking in,ham,ham,ham,ham,ham,ham
2157,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. ,ham,ham,ham,ham,ham,ham
5368,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam,spam,spam,spam,spam,spam
755,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,ham,ham,ham,ham,ham,ham
3755,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam,spam,spam,spam,spam,spam
978,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,ham,ham,ham,ham,ham,ham
3378,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,ham,ham,ham,ham,ham,ham
1263,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",spam,spam,spam,spam,spam,spam
3544,I'm e person who's doing e sms survey...,ham,ham,ham,spam,ham,ham
3215,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham,ham,ham,ham,ham,ham
1151,(That said can you text him one more time?),ham,ham,ham,ham,ham,ham
904,Lovely smell on this bus and it ain't tobacco... ,ham,ham,ham,ham,ham,ham
5063,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,ham,ham,ham,ham,ham,ham
4793,Gd luck 4 ur exams :-),ham,ham,ham,ham,ham,ham
2121,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",ham,ham,ham,ham,ham,ham
3993,"Dizzamn, aight I'll ask my suitemates when I get back",ham,ham,ham,ham,ham,ham
3157,Long time. You remember me today.,ham,ham,ham,ham,ham,ham
5064,Ok i also wan 2 watch e 9 pm show...,ham,ham,ham,ham,ham,ham
358,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,spam,spam,spam,spam,spam
2057,.Please charge my mobile when you get up in morning.,ham,ham,ham,ham,ham,ham
4961,I want  &lt;#&gt;  rs da:)do you have it?,ham,ham,ham,ham,ham,ham
4334,Y bishan lei... I tot ü say lavender? ,ham,ham,ham,ham,ham,ham
2301,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,ham,ham,ham,ham,ham,ham
1217,You have 1 new voicemail. Please call 08719181513.,spam,spam,spam,spam,spam,spam
1103,Black shirt n blue jeans... I thk i c ü...,ham,ham,ham,ham,ham,ham
3997,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham,ham,ham,ham,ham,ham
2539,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,ham,ham,ham,ham,ham,ham
2466,S.i think he is waste for rr..,ham,ham,ham,ham,ham,ham
1125,Aiyar sorry lor forgot 2 tell u...,ham,ham,ham,ham,ham,ham
3625,No message..no responce..what happend?,ham,ham,ham,ham,ham,ham
2696,And whenever you and i see we can still hook up too.,ham,ham,ham,ham,ham,ham
984,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,ham,ham,ham,ham,ham,ham
3159,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,ham,ham,ham,ham,ham,ham
4779,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,ham,ham,ham,ham,ham,ham
3323,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ham,ham,ham,ham,ham,ham
4053,"Ya ok, then had dinner?",ham,ham,ham,ham,ham,ham
5052,With my sis lor... We juz watched italian job.,ham,ham,ham,ham,ham,ham
5164,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam,spam,spam,spam,spam,spam
2817,Genius what's up. How your brother. Pls send his number to my skype.,ham,ham,ham,ham,ham,ham
3040,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",ham,ham,ham,ham,ham,ham
2343,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,spam,spam,spam,spam,spam,spam
5409,There is a first time for everything :),ham,ham,ham,ham,ham,ham
1343,Yeah I'll try to scrounge something up,ham,ham,ham,ham,ham,ham
4811,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",ham,ham,ham,ham,ham,ham
3233,Guess he wants alone time. We could just show up and watch when they do..,ham,ham,ham,ham,ham,ham
751,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",spam,ham,ham,ham,ham,ham
3672,Yup. Thk of u oso boring wat.,ham,ham,ham,ham,ham,ham
3475,", how's things? Just a quick question.",ham,ham,ham,ham,ham,ham
1272,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham,ham,ham,spam,ham,ham
913,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,ham,ham,ham,ham,ham,ham
974,what is your account number?,ham,ham,ham,spam,ham,ham
3987,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham,ham,ham,ham,ham,ham
5383,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,ham,ham,ham,ham,ham,ham
3889,ok....take care.umma to you too...,ham,ham,ham,ham,ham,ham
3445,Yes but I don't care cause I know its there!,ham,ham,ham,ham,ham,ham
214,Yup... How ü noe leh...,ham,ham,ham,ham,ham,ham
3609,Pls come quick cant bare this.,ham,ham,ham,ham,ham,ham
4165,"Its ok, called mom instead have fun",ham,ham,ham,ham,ham,ham
2669,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,spam,spam,spam,spam,spam,spam
2373,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,ham,ham,ham,ham,ham,ham
2308,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam,spam,spam,spam,spam,spam
3799,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",ham,ham,ham,ham,ham,ham
4029,Lol its ok I didn't remember til last nite,ham,ham,ham,ham,ham,ham
3294,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,ham,ham,ham,ham,ham,ham
2036,Simply sitting and watching match in office..,ham,ham,ham,ham,ham,ham
153,Ok... Ur typical reply...,ham,ham,ham,spam,ham,ham
3130,"Haha better late than ever, any way I could swing by?",ham,ham,ham,ham,ham,ham
3853,"No, its true..k,Do u knw dis no. &lt;#&gt; ?",ham,ham,ham,ham,ham,ham
1170,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,ham,ham,ham,ham,ham,ham
1916,Its not that time of the month nor mid of the time?,ham,ham,ham,spam,ham,ham
1102,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham,ham,ham,ham,ham,ham
296,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam,spam,spam,spam,spam,spam
4804,How do you plan to manage that,ham,ham,ham,ham,ham,ham
1061,I'm working technical support :)voice process.networking field.,ham,ham,ham,ham,ham,ham
285,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ham,ham,ham,ham,ham,ham
404,None of that's happening til you get here though,ham,ham,ham,ham,ham,ham
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam,spam,spam,spam,spam,spam
3398,Heehee that was so funny tho,ham,ham,ham,ham,ham,ham
2400,Oh... Kay... On sat right?,ham,ham,ham,ham,ham,ham
4556,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham,ham,ham,ham,ham,ham
5088,I wont do anything de.,ham,ham,ham,ham,ham,ham
582,Ok anyway no need to change with what you said,ham,ham,ham,ham,ham,ham
787,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham,ham,ham,ham,ham,ham
830,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham,ham,ham,ham,ham,ham
3418,But i haf enuff space got like 4 mb...,ham,ham,ham,ham,ham,ham
2356,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",ham,ham,ham,ham,ham,ham
2553,"Oh fine, I'll be by tonight",ham,ham,ham,ham,ham,ham
2683,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham,ham,ham,ham,ham,ham
4748,"When you just put in the + sign, choose my number and the pin will show. Right?",ham,ham,ham,spam,ham,ham
2267,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,spam,spam,spam,spam,spam,spam
4659,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,ham,ham,ham,ham,ham,ham
1599,Daddy will take good care of you :),ham,ham,ham,ham,ham,ham
5005,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham,ham,ham,ham,ham,ham
2406,I'm meeting Darren...,ham,ham,ham,ham,ham,ham
4140,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",ham,ham,ham,ham,ham,ham
3286,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,ham,ham,ham,ham,ham,ham
2823,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam,ham,ham,ham,spam,ham
2887,No probs hon! How u doinat the mo?,ham,ham,ham,ham,ham,ham
3811,"Aight, can you text me the address?",ham,ham,ham,ham,ham,ham
708,Quite late lar... Ard 12 anyway i wun b drivin...,ham,ham,ham,ham,ham,ham
3026,"What part of ""don't initiate"" don't you understand",ham,ham,ham,ham,ham,ham
1526,Pls pls find out from aunt nike.,ham,ham,ham,ham,ham,ham
3729,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,ham,ham,ham,ham,ham,ham
1827,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",ham,ham,ham,ham,ham,ham
3696,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",ham,ham,ham,ham,ham,ham
222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,ham,ham,ham,ham,ham
4764,Prepare to be pleasured :),ham,ham,ham,ham,ham,ham
1393,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham,ham,ham,ham,ham,ham
1551,He says hi and to get your ass back to south tampa (preferably at a kegger),ham,ham,ham,ham,ham,ham
4,"Nah I don't think he goes to usf, he lives around here though",ham,ham,ham,ham,ham,ham
4473,3. You have received your mobile content. Enjoy,spam,spam,spam,spam,spam,ham
3608,I have no idea where you are,ham,ham,ham,ham,ham,ham
3682,LOL what happens in Vegas stays in vegas,ham,ham,ham,ham,ham,ham
3219,Don know:)this week i'm going to tirunelvai da.,ham,ham,ham,ham,ham,ham
2126,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",ham,ham,ham,ham,ham,ham
169,Great escape. I fancy the bridge but needs her lager. See you tomo ,ham,ham,ham,ham,ham,ham
1405,Actually getting ready to leave the house.,ham,ham,ham,ham,ham,ham
5040,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,ham,ham,ham,ham,ham,ham
2506,Congrats kano..whr s the treat maga?,ham,ham,ham,ham,ham,ham
1234,Lol ok. I'll snatch her purse too.,ham,ham,ham,ham,ham,ham
1554,Ok how you dear. Did you call chechi,ham,ham,ham,ham,ham,ham
4302,Are there TA jobs available? Let me know please cos i really need to start working,ham,ham,ham,ham,ham,ham
821,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,ham,ham,ham,ham,ham,ham
607,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam,ham,ham,ham,spam,spam
1457,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,ham,ham,ham,ham,ham,ham
2082,I'm aight. Wat's happening on your side.,ham,ham,ham,ham,ham,ham
3584,I sent your maga that money yesterday oh.,ham,ham,ham,spam,ham,ham
275,No objection. My bf not coming.,ham,ham,ham,ham,ham,ham
4537,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,ham,ham,ham,ham,ham,ham
2241,K I'll call you when I'm close,ham,ham,ham,spam,ham,ham
2116,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham,ham,ham,ham,ham,ham
328,"I'd say that's a good sign but, well, you know my track record at reading women",ham,ham,ham,ham,ham,ham
4565,Tell me again what your address is,ham,ham,ham,spam,ham,ham
573,Can you open the door?,ham,ham,ham,spam,ham,ham
2205,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham,ham,ham,ham,ham,ham
89,"Ela kano.,il download, come wen ur free..",ham,ham,ham,ham,ham,ham
4942,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,ham,ham,ham,ham,ham,ham
1490,Ok i juz receive..,ham,ham,ham,ham,ham,ham
4187,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",ham,ham,ham,ham,ham,ham
62,Its a part of checking IQ,ham,ham,ham,ham,ham,ham
2619,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham,ham,ham,ham,ham,ham
940,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,ham,ham,ham,ham,ham,ham
4034,I am taking you for italian food. How about a pretty dress with no panties? :),ham,ham,ham,ham,ham,ham
5279,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham,ham,ham,ham,ham,ham
1824,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,ham,ham,ham,ham,ham,ham
4846,Missing you too.pray inshah allah,ham,ham,ham,ham,ham,ham
1181,I'm in chennai velachery:),ham,ham,ham,ham,ham,ham
3973,WOT U UP 2 J?,ham,ham,ham,spam,ham,ham
5339,You'd like that wouldn't you? Jerk!,ham,ham,ham,ham,ham,ham
2478,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",ham,ham,ham,ham,ham,ham
2352,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 ",spam,ham,ham,spam,spam,spam
3411,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,ham,ham,ham,ham,ham,ham
785,Dont think so. It turns off like randomlly within 5min of opening,ham,ham,ham,ham,ham,ham
4640,Of course. I guess god's just got me on hold right now.,ham,ham,ham,ham,ham,ham
2569,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,ham,ham,ham,ham,ham,ham
3483,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,spam,spam,spam,ham,spam,spam
2159,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,ham,ham,ham,ham,ham,ham
197,Did u got that persons story,ham,ham,ham,ham,ham,ham
3414,Where do you need to go to get it?,ham,ham,ham,spam,ham,ham
5102,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam,spam,spam,ham,spam,spam
5163,Ok leave no need to ask,ham,ham,ham,ham,ham,ham
243,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham,ham,ham,ham,ham,ham
3277,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,ham,ham,ham,ham,ham,ham
2923,I've not sent it. He can send me.,ham,ham,ham,ham,ham,ham
3250,"Sorry, I can't help you on this.",ham,ham,ham,spam,ham,ham
5042,She ran off with a younger man. we will make pretty babies together :),ham,ham,ham,ham,ham,ham
4207,"Get the door, I'm here",ham,ham,ham,spam,ham,ham
4466,CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X,ham,ham,ham,ham,ham,ham
4827,"Haha, just what I was thinkin",ham,ham,ham,ham,ham,ham
2195,Hi my email address has changed now it is ,ham,ham,ham,ham,ham,ham
3209,Oops my phone died and I didn't even know. Yeah I like it better.,ham,ham,ham,ham,ham,ham
4860,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",ham,ham,ham,ham,ham,ham
2611,"As usual..iam fine, happy &amp; doing well..:)",ham,ham,ham,ham,ham,ham
5504,Wait . I will msg after  &lt;#&gt;  min.,ham,ham,ham,ham,ham,ham
3571,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,spam,spam,spam,spam,spam
3357,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,ham,ham,ham,ham,ham,ham
864,Did u find out what time the bus is at coz i need to sort some stuff out.,ham,ham,ham,ham,ham,ham
1622,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",ham,ham,ham,ham,ham,ham
4290,"Okay, good, no problem, and thanx!",ham,ham,ham,ham,ham,ham
2886,Ü still attending da talks?,ham,ham,ham,ham,ham,ham
3471,aathi..where are you dear..,ham,ham,ham,ham,ham,ham
3198,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,ham,ham,ham,ham,ham,ham
5521,You are a big chic. Common. Declare,ham,ham,ham,ham,ham,ham
5151,No problem with the renewal. I.ll do it right away but i dont know his details.,ham,ham,ham,spam,ham,ham
2418,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,ham,ham,ham,ham,ham,ham
1986,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,ham,ham,ham,ham,ham,ham
3806,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,ham,ham,ham,ham,ham,ham
2040,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",ham,ham,ham,ham,ham,ham
3514,Staff of placement training in Amrita college.,ham,ham,ham,ham,ham,ham
3049,Die... Now i have e toot fringe again...,ham,ham,ham,ham,ham,ham
2390,Boo. How's things? I'm back at home and a little bored already :-(,ham,ham,ham,ham,ham,ham
1793,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam,spam,spam,spam,spam,spam
3604,"I'm not sure, I was just checking out what was happening around the area",ham,ham,ham,ham,ham,ham
1935,Hope you are having a great day.,ham,ham,ham,ham,ham,ham
2738,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,ham,ham,ham,ham,ham,ham
4952,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,ham,ham,ham,ham,ham,ham
4855,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",ham,ham,ham,ham,ham,ham
4348,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,spam,spam,spam,spam,spam
1378,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam,spam,spam,spam,spam,spam
2753,Sat right? Okay thanks... ,ham,ham,ham,ham,ham,ham
3773,Does uncle timi help in clearing cars,ham,ham,ham,ham,ham,ham
2416,Huh means computational science... Y they like dat one push here n there...,ham,ham,ham,ham,ham,ham
12,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,spam,spam,spam,spam,spam
4647,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam,spam,spam,spam,spam,spam
1507,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam,ham,ham,ham,spam,ham
3881,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,ham,ham,ham,ham,ham,ham
5411,I ask if u meeting da ge tmr nite...,ham,ham,ham,ham,ham,ham
1564,Get ready to put on your excellent sub face :),ham,ham,ham,ham,ham,ham
174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham,ham,ham,ham,ham,ham
2293,:-( that's not v romantic!,ham,ham,ham,ham,ham,ham
2736,I meant middle left or right?,ham,ham,ham,ham,ham,ham
5399,And he's apparently bffs with carly quick now,ham,ham,ham,ham,ham,ham
4457,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is",ham,ham,ham,ham,ham,ham
1157,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,ham,ham,ham,ham,ham,ham
297,Unless it's a situation where YOU GO GURL would be more appropriate,ham,ham,ham,ham,ham,ham
2304,Should I tell my friend not to come round til like  &lt;#&gt; ish?,ham,ham,ham,ham,ham,ham
673,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,spam,spam,spam,spam,spam,spam
2924,Fine am simply sitting.,ham,ham,ham,ham,ham,ham
2271,U know we watchin at lido?,ham,ham,ham,ham,ham,ham
